嗚呼,ああ,aa,Ah!;Oh!;Alas!
,あべこべ,abekobe,contrary;opposite;inverse
甘い,あまい,amai,generous;indulgent;easy-going;sweet;fond of;soft on;overly optimistic;naive
甘える,あまえる,amaeru,to behave like a spoiled child;to fawn on
甘口,あまくち,amakuchi,sweet flavour;mildness;flattery;stupidity
雨具,あまぐ,amagu,rain gear
天,あまつ,amatsu,heavenly;imperial
雨戸,あまど,amado,sliding storm door
甘やかす,あまやかす,amayakasu,to pamper;to spoil
余り,あまり,amari,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
余り,あまり,amari,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
余る,あまる,amaru,to remain;to be left over;to be in excess;to be too many
網,あみ,ami,net;network
網,あみ,ami,net;network
編物,あみもの,amimono,knitting;web
編む,あむ,amu,to knit
雨,あめ,ame,rain
飴,あめ,ame,(hard) candy
天地,あめつち,ametsuchi,heaven and earth;the universe;nature;top and bottom;realm;sphere;world
危うい,あやうい,ayaui,dangerous;critical;grave;uncertain;unreliable;limping;narrow;close;watch out!
怪しい,あやしい,ayashii,suspicious;dubious;doubtful
操る,あやつる,ayatsuru,to manipulate;to operate;to pull strings
,あやふや,ayafuya,uncertain;vague;ambiguous
危ぶむ,あやぶむ,ayabumu,to fear;to have misgivings;to be doubtful;to mistrust
過ち,あやまち,ayamachi,fault;error;indiscretion
誤り,あやまり,ayamari,error
誤る,あやまる,ayamaru,to make a mistake
謝る,あやまる,ayamaru,to apologize
歩み,あゆみ,ayumi,walking
歩む,あゆむ,ayumu,to walk;to go on foot
,あら,ara,oh;ah;saw-edged perch (Niphon spinosus)
荒い,あらい,arai,rough;rude;wild
粗い,あらい,arai,coarse;rough
洗う,あらう,arau,to wash
予め,あらかじめ,arakajime,beforehand;in advance;previously
嵐,あらし,arashi,storm;tempest
荒らす,あらす,arasu,to lay waste;to devastate;to damage;to invade;to break into
粗筋,あらすじ,arasuji,outline;summary
争い,あらそい,arasoi,dispute;strife;quarrel;dissension;conflict;rivalry;contest
争う,あらそう,arasou,to dispute;to argue;to be at variance;to compete
新た,あらた,arata,new;fresh;novel
改まる,あらたまる,aratamaru,to be renewed
改めて,あらためて,aratamete,another time;again;over again;anew;formally
改める,あらためる,aratameru,to change;to alter;to reform;to revise
荒っぽい,あらっぽい,arappoi,rough;rude
凡ゆる,あらゆる,arayuru,all;every
,あられ,arare,kind of cookie;cartoon character
表す,あらわす,arawasu,to express;to show;to reveal
現す,あらわす,arawasu,to show;to indicate;to display
著す,あらわす,arawasu,to write;to publish
現われ,あらわれ,araware,embodiment;materialization
現われる,あらわれる,arawareru,to appear;to come in sight;to become visible;to come out;to embody;to materialize;to express oneself
有難い,ありがたい,arigatai,grateful;thankful
有難う,ありがとう,arigatou,Thank you
有様,ありさま,arisama,state;condition;circumstances;the way things are or should be;truth
有りのまま,ありのまま,arinomama,the truth;fact;as it is;frankly
或る,ある,aru,a certain...;some...
有る,ある,aru,to be;to have
在る,ある,aru,to live;to be
或いは,あるいは,aruiha,or;possibly
歩く,あるく,aruku,to walk
主,あるじ,aruji,master;head (of a household);landlord;one's husband;employer;host
主,あるじ,aruji,master;head (of a household);landlord;one's husband;employer;host
主人,あるじ,aruji,master;head (of a household);landlord;one's husband;employer;host
,あれ,are,1.  that;that thing; 2.  (X) (col) genitals; 3.  menses
彼此,あれこれ,arekore,one thing or another;this and that;this or that
荒れる,あれる,areru,to be stormy;to be rough;to lose one's temper
泡,あわ,awa,bubble;foam;froth;head on beer
合わす,あわす,awasu,to join together;to face;to unite;to be opposite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with
合わせ,あわせ,awase,joint together;opposite;facing
合わせる,あわせる,awaseru,to join together;to be opposite;to face;to unite;to combine;to connect;to add up;to mix;to match;to overlap;to compare;to check with
慌ただしい,あわただしい,awatadashii,busy;hurried;confused;flurried
慌てる,あわてる,awateru,to become confused (disconcerted  disorganized)
哀れ,あわれ,aware,helpless;pathos;pity;sorrow;grief;misery;compassion
案,あん,an,plan;suffix meaning draft
安易,あんい,ani,easy-going
案外,あんがい,angai,unexpectedly
暗記,あんき,anki,memorization;learning by heart
暗殺,あんさつ,ansatsu,assassination
暗算,あんざん,anzan,mental arithmetic
安心,あんしん,anshin,relief;peace of mind
暗示,あんじ,anji,hint;suggestion
案じる,あんじる,anjiru,to be anxious;to ponder
安静,あんせい,ansei,rest
安全,あんぜん,anzen,safety;security
安定,あんてい,antei,stability;equilibrium
,あんな,anna,such;so;that;sort of
案内,あんない,annai,information;guidance;leading
案の定,あんのじょう,annojyou,sure enough;as usual
余り,あんまり,anmari,not very (this form only used as adverb);not much;remainder;rest;remnant;surplus;balance;excess;remains;scraps;residue;fullness;other;too much
依,い,i,depending on
依,い,i,depending on
胃,い,i,stomach
良い,いい,ii,good
伊井,いい,ii,that one;Italy
否,いいえ,iie,no;nay;yes;well
否,いいえ,iie,no;nay;yes;well
いい加減,いいかげん,iikagen,moderate;right;random;not thorough;vague;irresponsible;halfhearted
言い出す,いいだす,iidasu,to start talking;to speak;to tell;to propose;to suggest;to break the ice
言い付ける,いいつける,iitsukeru,to tell;to tell on (someone);to order;to charge;to direct
言い訳,いいわけ,iiwake,excuse;explanation
医院,いいん,iin,doctor's office (surgery);clinic;dispensary
委員,いいん,iin,committee member
言う,いう,iu,to say
家,いえ,ie,house
家,いえ,ie,house
家,いえ,ie,house
家,いえ,ie,house
家出,いえで,iede,running away from home;leaving home
家主,いえぬし,ienushi,landlord
以下,いか,ika,less than;up to;below;under;and downward;not exceeding;the following;the rest
如何,いかが,ikaga,how;in what way
生かす,いかす,ikasu,to revive;to resuscitate;to make use of
雷,いかずち,ikazuchi,thunder
如何に,いかに,ikani,how?;in what way?;how much?;however;whatever
如何にも,いかにも,ikanimo,indeed;really;phrase meaning agreement
怒り,いかり,ikari,anger;hatred
怒る,いかる,ikaru,to get angry;to be angry
以外,いがい,igai,with the exception of;excepting
意外,いがい,igai,unexpected;surprising
医学,いがく,igaku,medical science;medicine
歪む,いがむ,igamu,to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained
歪む,いがむ,igamu,to warp;to swerve;to deflect;to be crooked;to be distorted;to be bent;to incline;to slant;to be perverted;to be gross-grained;to get bent;to be strained
粋,いき,iki,chic;style;purity;essence
粋,いき,iki,chic;style;purity;essence
息,いき,iki,breath;tone
行き,いき,iki,going
生き生き,いきいき,ikiiki,vividly;lively
勢い,いきおい,ikioi,force;vigor;energy;spirit;life;authority;influence;power;might;impetus;course (of events);tendency;necessarily
域外,いきがい,ikigai,outside the area
意気込む,いきごむ,ikigomu,to be enthusiastic about
経緯,いきさつ,ikisatsu,1.  details;whole story;sequence of events;particulars;how it started;how things got this way; 2.  complications;position
行き違い,いきちがい,ikichigai,misunderstanding;estrangement;disagreement;crossing without meeting;going astray
行き成り,いきなり,ikinari,suddenly
生き物,いきもの,ikimono,living thing;animal
生きる,いきる,ikiru,to live;to exist
異議,いぎ,igi,objection;dissent;protest
意義,いぎ,igi,meaning;significance
,いく,iku,to come;to orgasm
行く,いく,iku,to go
軍,いくさ,ikusa,war;battle;campaign;fight
戦,いくさ,ikusa,war;battle;campaign;fight
育児,いくじ,ikuji,childcare;nursing;upbringing
育成,いくせい,ikusei,rearing;training;nurture;cultivation;promotion
幾多,いくた,ikuta,many;numerous
幾つ,いくつ,ikutsu,how many?;how old?
幾分,いくぶん,ikubun,somewhat
幾ら,いくら,ikura,how much?;how many?
池,いけ,ike,pond
,いけない,ikenai,must not do;bad;wrong;not good
生け花,いけばな,ikebana,1.  flower arrangement
活ける,いける,ikeru,to arrange (flowers)
異見,いけん,iken,different opinion;objection
意見,いけん,iken,opinion;view
意向,いこう,ikou,intention;idea;inclination
移行,いこう,ikou,switching over to
以降,いこう,ikou,on and after;hereafter;thereafter
以後,いご,igo,after this;from now on;hereafter;thereafter
勇ましい,いさましい,isamashii,brave;valiant;gallant;courageous
,いざ,iza,now;come (now);well;crucial moment
石,いし,ishi,stone
医師,いし,ishi,doctor;physician
意思,いし,ishi,intention;purpose
意志,いし,ishi,will;volition
意識,いしき,ishiki,consciousness;senses
碑,いしぶみ,ishibumi,stone monument bearing an inscription
医者,いしゃ,isha,doctor (medical)
衣装,いしょう,ishou,clothing;costume;outfit;garment;dress
衣食住,いしょくじゅう,ishokujyuu,necessities of life (food  clothing  etc.)
意地,いじ,iji,disposition;spirit;willpower;obstinacy;backbone;appetite
維持,いじ,iji,maintenance;preservation
苛める,いじめる,ijimeru,to tease;to torment;to persecute;to chastise
移住,いじゅう,ijyuu,migration;immigration
以上,いじょう,ijyou,more than;exceeding;greater than;this is all;over;above;and up;beyond;the above-mentioned;since;as long as;the end
異常,いじょう,ijyou,strangeness;abnormality;disorder
弄る,いじる,ijiru,to touch;to tamper with
意地悪,いじわる,ijiwaru,malicious;ill-tempered;unkind
椅子,いす,isu,chair
泉,いずみ,izumi,spring;fountain
何れ,いずれ,izure,where;which;who;anyway;anyhow;at any rate
異性,いせい,isei,the opposite sex
遺跡,いせき,iseki,historic ruins (remains  relics)
依然,いぜん,izen,still;as yet
以前,いぜん,izen,ago;since;before;previous
忙しい,いそがしい,isogashii,busy;irritated
急ぐ,いそぐ,isogu,to hurry;to rush
依存,いそん,ison,dependence;dependent;reliance
板,いた,ita,board;plank
痛い,いたい,itai,painful
委託,いたく,itaku,consign (goods (for sale) to a firm);entrust (person with something);commit
致す,いたす,itasu,to do
悪戯,いたずら,itazura,tease;prank;trick;practical joke;mischief
頂,いただき,itadaki,(top of) head;summit;spire
戴きます,いただきます,itadakimasu,expression of gratitude before meals
頂く,いただく,itadaku,to receive;to take food or drink (hum);to be crowned with;to wear;to live under (a ruler);to install (a president);to accept;to buy;to take
至って,いたって,itate,very much;exceedingly;extremely
痛み,いたみ,itami,pain;ache;sore;grief;distress
痛む,いたむ,itamu,to hurt;to feel a pain;to be injured
痛める,いためる,itameru,to hurt;to injure;to cause pain;to worry;to bother;to afflict;to be grieved over
炒める,いためる,itameru,to stir-fry
至る,いたる,itaru,to come;to arrive
労る,いたわる,itawaru,to pity;to sympathize with;to console;to care for;to be kind to
偉大,いだい,idai,greatness
抱く,いだく,idaku,to embrace;to hug;to harbour;to entertain;`to sleep with'
抱く,いだく,idaku,to embrace;to hug;to harbour;to entertain;`to sleep with'
市,いち,ichi,market;fair
一,いち,ichi,(num) one
位地,いち,ichi,place;situation;position;location
位置,いち,ichi,place;situation;position;location
市,いち,ichi,market;fair
一,いち,ichi,(num) one
一々,いちいち,ichiichi,one by one;separately
一応,いちおう,ichiou,once;tentatively;in outline;for the time being
一概に,いちがいに,ichigaini,unconditionally;as a rule
一見,いちげん,ichigen,unfamiliar;never before met
一言,いちげん,ichigen,single word
一時,いちじ,ichiji,one hour;short time;once;a time;temporarily;at one time;twelfth part of a day
一日,いちじつ,ichijitsu,1.  one day; 2.  first of month
一定,いちじょう,ichijyou,fixed;settled;definite;uniform;regularized;defined;standardized;certain;prescribed
著しい,いちじるしい,ichijirushii,remarkable;considerable
一段と,いちだんと,ichidanto,greater;more;further;still more
一度,いちど,ichido,once;one time;on one occasion
一同,いちどう,ichidou,all present;all concerned;all of us
一度に,いちどに,ichidoni,all at once
一人,いちにん,ichinin,one person
市場,いちば,ichiba,(town) market;marketplace;market
市場,いちば,ichiba,(town) market;marketplace;market
一番,いちばん,ichiban,best;first;number one;a game;a round;a bout;a fall;an event (in a meet)
一部,いちぶ,ichibu,1.  one copy  e.g. of a document; 2.  a part;partly;some
一部分,いちぶぶん,ichibubun,a part
一別,いちべつ,ichibetsu,parting
一面,いちめん,ichimen,one side;one phase;front page;the other hand;the whole surface
一目,いちもく,ichimoku,a glance;a look;a glimpse
一様,いちよう,ichiyou,uniformity;evenness;similarity;equality;impartiality
一律,いちりつ,ichiritsu,evenness;uniformity;monotony;equality
一流,いちりゅう,ichiryuu,first class;top grade;school (of art);foremost;top-notch;unique
一連,いちれん,ichiren,a series;a chain;a ream (of paper)
一家,いっか,ika,a house;a home;a family;a household;one's family;one's folks;a style
一括,いっかつ,ikkatsu,all together;batch;one lump;one bundle;summing up
一気,いっき,iki,drink!(said repeatedly as a party cheer)
一挙に,いっきょに,ikyoni,at a stroke;with a single swoop
一切,いっさい,issai,all;everything;without exception;the whole;entirely;absolutely
一昨日,いっさくじつ,issakujitsu,day before yesterday
一昨年,いっさくねん,issakunen,year before last
一種,いっしゅ,ishu,a species;a kind;a variety
一瞬,いっしゅん,ishun,a moment;an instant
一緒,いっしょ,isho,together;meeting;company
一生,いっしょう,ishou,whole life;a lifetime;all through life;one existence;a generation;an age;the whole world;the era
一生懸命,いっしょうけんめい,ishouukenmei,very hard;with utmost effort;with all one's might
一心,いっしん,isshin,one mind;wholeheartedness;the whole heart
一斉,いっせい,issei,simultaneous;all at once
,いっそ,iso,rather;sooner;might as well
一層,いっそう,issou,much more;still more;all the more
一帯,いったい,ittai,a region;a zone;the whole place
一体,いったい,ittai,one object;one body;what on earth?;really?;generally
一旦,いったん,ittan,once;for a moment;one morning;temporarily
一致,いっち,ichi,coincidence;agreement;union;match;conformity;consistency;co-operation
一敗,いっぱい,ippai,one defeat
一般,いっぱん,ippan,general;liberal;universal;ordinary;average
一変,いっぺん,ippen,complete change;about-face
一方,いっぽう,ippou,on the other hand;one side;one way;a quarter;one direction;one party;the other party;meanwhile;only;simple;in turn
何時,いつ,itsu,when;how soon
五日,いつか,itsuka,five days;the fifth day (of the month)
何時か,いつか,itsuka,sometime;someday;one day;some time or other;the other day;in due course;in time
五つ,いつつ,itsutsu,five
何時でも,いつでも,itsudemo,(at) any time;always;at all times;never (neg);whenever
何時の間にか,いつのまにか,itsunomanika,before one knows;unnoticed;unawares
何時までも,いつまでも,itsumademo,forever;for good;eternally;as long as one likes;indefinitely
何時も,いつも,itsumo,always;usually;every time;never (with neg. verb)
移転,いてん,iten,moving;transfer;demise
意図,いと,ito,intention;aim;design
糸,いと,ito,thread;yarn;string
従兄弟,いとこ,itoko,cousin
従姉妹,いとこ,itoko,cousin (female)
営む,いとなむ,itonamu,to carry on (e.g. in ceremony);to run a business
暇,いとま,itoma,free time;leisure;leave;spare time;farewell
井戸,いど,ido,water well
緯度,いど,ido,latitude (nav.)
異動,いどう,idou,a change
移動,いどう,idou,removal;migration;movement
挑む,いどむ,idomu,to challenge;to contend for;to make love to
以内,いない,inai,within;inside of;less than
田舎,いなか,inaka,rural;not particularly urban;countryside;suburb
稲光,いなびかり,inabikari,(flash of) lightning
古,いにしえ,inishie,antiquity;ancient times
犬,いぬ,inu,dog
稲,いね,ine,rice-plant
居眠り,いねむり,inemuri,dozing;nodding off
命,いのち,inochi,(mortal) life
祈り,いのり,inori,prayer;supplication
祈る,いのる,inoru,to pray;to wish
違反,いはん,ihan,violation (of law);transgression;infringement;breach
威張る,いばる,ibaru,to be proud;to swagger
鼾,いびき,ibiki,snoring
衣服,いふく,ifuku,clothes
今,いま,ima,now;the present time;just now;soon;immediately;(one) more
居間,いま,ima,living room (western style)
今,いま,ima,now;the present time;just now;soon;immediately;(one) more
今更,いまさら,imasara,now;at this late hour
未だ,いまだ,imada,as yet;hitherto;not yet (neg)
今に,いまに,imani,before long;even now
今にも,いまにも,imanimo,at any time;soon
意味,いみ,imi,meaning;significance
移民,いみん,imin,emigration;immigration;emigrant;immigrant
妹,いもうと,imouto,younger sister
嫌,いや,iya,disagreeable;detestable;unpleasant;reluctant
厭々,いやいや,iyaiya,unwillingly;grudgingly;shaking head in refusal (to children)
嫌がる,いやがる,iyagaru,to hate;to dislike
卑しい,いやしい,iyashii,greedy;vulgar;shabby;humble;base;mean;vile
,いやに,iyani,awfully;terribly
厭やらしい,いやらしい,iyarashii,detestable;disagreeable
愈々,いよいよ,iyoiyo,more and more;all the more;increasingly;at last;beyond doubt
意欲,いよく,iyoku,will;desire;ambition
以来,いらい,irai,since;henceforth
依頼,いらい,irai,request;commission;dispatch;dependence;trust
苛々,いらいら,iraira,getting nervous;irritation
,いらっしゃる,irasharu,to be;to come;to go
入口,いりくち,irikuchi,entrance;gate;approach;mouth
衣料,いりょう,iryou,clothing
医療,いりょう,iryou,medical care;medical treatment
威力,いりょく,iryoku,power;might;authority;influence
居る,いる,iru,to be (animate);to exist
要る,いる,iru,to need
居る,いる,iru,to be (animate);to exist
入る,いる,iru,to get in;to go in;to come in;to flow into;to set;to set in
煎る,いる,iru,to parch;to fry;to fire;to broil;to roast;to boil down (in oil)
居る,いる,iru,to be (animate);to exist
衣類,いるい,irui,clothes;clothing;garments
入れ物,いれもの,iremono,container;case;receptacle
入れる,いれる,ireru,to put in;to take in;to bring in;to let in;to admit;to introduce;to commit (to prison);to usher in;to insert;to set (jewels);to employ;to listen to;to tolerate;to comprehend;to include;to pay (interest);to cast (votes)
色,いろ,iro,colour
色,いろ,iro,colour
色々,いろいろ,iroiro,various
異論,いろん,iron,different opinion;objection
岩,いわ,iwa,rock;crag
祝い,いわい,iwai,celebration;festival
祝う,いわう,iwau,to congratulate;to celebrate
言わば,いわば,iwaba,so to speak
所謂,いわゆる,iwayuru,the so-called;so to speak
印,いん,in,seal;stamp;mark;print
員,いん,in,member
印鑑,いんかん,inkan,stamp;seal
陰気,いんき,inki,gloom;melancholy
隠居,いんきょ,inkyo,retirement;retired person
印刷,いんさつ,insatsu,printing
印象,いんしょう,inshou,impression
引退,いんたい,intai,retire
引用,いんよう,inyou,quotation;citation
引力,いんりょく,inryoku,gravity
上,うえ,ue,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
上,うえ,ue,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
上,うえ,ue,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
上,うえ,ue,above;over;on top of;up;upper part;summit;surface;far better;higher;(in) authority;as far as ... is concerned;besides;after;emperor;sovereign;upon (examination);influence of (liquor);lord;shogun;superior;my dear (father)
植木,うえき,ueki,garden shrubs;trees;potted plant
上下,うえした,ueshita,high and low;up and down;unloading and loading;praising and blaming
植える,うえる,ueru,to plant;to grow
飢える,うえる,ueru,to starve
魚,うお,uo,fish
魚,うお,uo,fish
伺う,うかがう,ukagau,to visit;to ask;to inquire;to hear;to be told;to implore (a god for an oracle)
浮かぶ,うかぶ,ukabu,to float;to rise to surface;to come to mind
浮かべる,うかべる,ukaberu,to float;to express;to look (sad  glad)
受かる,うかる,ukaru,to pass (examination)
含嗽,うがい,ugai,gargle;rinse mouth
浮く,うく,uku,to float;to become merry;to become loose
受け入れ,うけいれ,ukeire,receiving;acceptance
受け入れる,うけいれる,ukeireru,to accept;to receive
承る,うけたまわる,uketamawaru,to hear;to be told;to know
受け継ぐ,うけつぐ,uketsugu,to inherit;to succeed;to take over
受付,うけつけ,uketsuke,receipt;acceptance;reception (desk);information desk
受け付ける,うけつける,uketsukeru,to be accepted;to receive (an application)
